title,link
"YAPC::Kyoto 2023 ベストLT賞をいただいた話","https://shundeveloper.hatenablog.com/entry/2023/03/21/135437"
"PHPerKaigiに参加してきました","https://shundeveloper.hatenablog.com/entry/phperkaigi_2023?_ga=2.3977136.1644655810.1682752716-479239798.1680491954"
"入社エントリ PR TIMES","https://shundeveloper.hatenablog.com/entry/entry_prtimes?_ga=2.3977136.1644655810.1682752716-479239798.1680491954"
ISUCON夏祭りに参加しました！！,https://shundeveloper.hatenablog.com/entry/isucon_summer_fes_2023
PHP Conference Japan 2023に参加してきました,https://shundeveloper.hatenablog.com/entry/2023/10/08/180751
入社エントリ: PR TIMES,https://shundeveloper.hatenablog.com/entry/entry_prtimes
Fastly Yamagoya 2023に参加しました！,https://shundeveloper.hatenablog.com/entry/fastly_yamagoya2023
初心者向け 登壇するためのTips,https://shundeveloper.hatenablog.com/entry/2023_advent
