title,link
"深層学習 改訂第2版 第4章「誤差逆伝播法」 65p 数式の導出","https://www.hello-statisticians.com/uncategorized/dl_mlp_ch_4_65p-html.html"
"深層学習 改訂第2版 第10章「いろいろな学習方法」 220p 数式の導出","https://www.hello-statisticians.com/uncategorized/dl_mlp_ch_10_220p.html"
"深層学習 改訂第2版 第8章「推論の信頼性」 176p-177p 数式の表記揺れの確認","https://www.hello-statisticians.com/uncategorized/dl_mlp_ch_8_176p-177p.html"
